ID,district_name,province,coords_lat,coords_lng,distance_to_capital_km_norm,population_total_norm,population_growth_5y_norm,population_density_norm,urbanisation_index,num_major_towns_100k_norm,largest_town_pop_share,market_access_index,nightlight_intensity,health_facilities_per_100k_norm,schools_per_100k_norm,university_or_college_count_norm,road_quality_index,electricity_access_rate_norm,water_access_rate_norm,median_rent_index,avg_income_index,informal_sector_share_norm,safety_index,green_cover_index,is_provincial_capital,is_border_district,,,
36,Vubwi,Eastern Province,-12.8167,33.5333,,,,,,,,,,,,,,,,,,,,,,,,,
37,Chembe,Luapula Province,-11.0667,29.95,,,,,,,,,,,,,,,,,,,,,,,,,
38,Chiengi,Luapula Province,-10.5,31.0333,,,,,,,,,,,,,,,,,,,,,,,,,
39,Chifunabuli,Luapula Province,-10.2333,30.5667,,,,,,,,,,,,,,,,,,,,,,,,,
40,Chipili,Luapula Province,-10.6667,31.3667,,,,,,,,,,,,,,,,,,,,,,,,,
41,Kawambwa,Luapula Province,-10.1333,30.1833,,,,,,,,,,,,,,,,,,,,,,,,,
42,Lunga,Luapula Province,-11,29.7,,,,,,,,,,,,,,,,,,,,,,,,,
43,Mansa,Luapula Province,-11.2,29.8333,,,,,,,,,,,,,,,,,,,,,,,,,1
44,Milenge,Luapula Province,-10.85,32.0833,,,,,,,,,,,,,,,,,,,,,,,,,
45,Mwansabombwe,Luapula Province,-10.8333,31,,,,,,,,,,,,,,,,,,,,,,,,,
46,Mwense,Luapula Province,-11.0667,30.1833,,,,,,,,,,,,,,,,,,,,,,,,,
47,Nchelenge,Luapula Province,-10.3833,31.6,,,,,,,,,,,,,,,,,,,,,,,,,
48,Samfya,Luapula Province,-10.7667,30.7833,,,,,,,,,,,,,,,,,,,,,,,,,
49,Chilanga,Lusaka Province,-15.5667,28.3,,,,,,,,,,,,,,,,,,,,,,,,,
50,Chongwe,Lusaka Province,-15.3333,28.2667,,,,,,,,,,,,,,,,,,,,,,,,,
51,Kafue,Lusaka Province,-15.8333,28,,,,,,,,,,,,,,,,,,,,,,,,,
52,Luangwa,Lusaka Province,-15.25,30.8333,,,,,,,,,,,,,,,,,,,,,,,,,
53,Lusaka,Lusaka Province,-15.3875,28.2883,,,,,,,,,,,,,,,,,,,,,,,,,1
54,Rufunsa,Lusaka Province,-15.5333,30.3,,,,,,,,,,,,,,,,,,,,,,,,,
55,Chinsali,Northern Province,-10.4,32.1667,,,,,,,,,,,,,,,,,,,,,,,,,1
56,Isoka,Northern Province,-12.0333,32.6,,,,,,,,,,,,,,,,,,,,,,,,,
57,Kanchibiya,Northern Province,-10.8667,31.7667,,,,,,,,,,,,,,,,,,,,,,,,,
58,Lavushimanda,Northern Province,-8.8167,31.35,,,,,,,,,,,,,,,,,,,,,,,,,1
59,Mafinga,Northern Province,-10.0833,31.5833,,,,,,,,,,,,,,,,,,,,,,,,,
60,Mpika,Northern Province,-10.6667,31.5333,,,,,,,,,,,,,,,,,,,,,,,,,
61,Nakonde,Northern Province,-8.7667,31.1333,,,,,,,,,,,,,,,,,,,,,,,,,1
62,Shiwang'andu,Northern Province,-9.7333,31.8667,,,,,,,,,,,,,,,,,,,,,,,,,
63,Chilubi,North-Western Province,-10.3833,30.05,,,,,,,,,,,,,,,,,,,,,,,,,
64,Kaputa,North-Western Province,-9.5167,30.7333,,,,,,,,,,,,,,,,,,,,,,,,,
65,Kasama,North-Western Province,-10.1667,31.1833,,,,,,,,,,,,,,,,,,,,,,,,,1
66,Lunte,North-Western Province,-10.75,30.4,,,,,,,,,,,,,,,,,,,,,,,,,
67,Lupososhi,North-Western Province,-9.6667,30.9667,,,,,,,,,,,,,,,,,,,,,,,,,
68,Luwingu,North-Western Province,-10.4167,29.9167,,,,,,,,,,,,,,,,,,,,,,,,,
69,Mbala,Northern Province,-8.85,31.3333,,,,,,,,,,,,,,,,,,,,,,,,,
70,Mporokoso,North-Western Province,-9.4167,30.5,,,,,,,,,,,,,,,,,,,,,,,,,
71,Mpulungu,North-Western Province,-8.75,31.1333,,,,,,,,,,,,,,,,,,,,,,,,,
72,Mungwi,North-Western Province,-9.8167,31.1667,,,,,,,,,,,,,,,,,,,,,,,,,
73,Nsama,North-Western Province,-10.5333,30.3,,,,,,,,,,,,,,,,,,,,,,,,,
74,Senga,North-Western Province,-10.0833,30.2333,,,,,,,,,,,,,,,,,,,,,,,,,
75,Chavuma,North-Western Province,-12.05,23.5333,,,,,,,,,,,,,,,,,,,,,,,,,1
76,Ikelenge,North-Western Province,-11.2333,22.7833,,,,,,,,,,,,,,,,,,,,,,,,,
77,Kabompo,North-Western Province,-11.7667,24.1833,,,,,,,,,,,,,,,,,,,,,,,,,
78,Kalumbila,North-Western Province,-12.5833,25.3667,,,,,,,,,,,,,,,,,,,,,,,,,
79,Mufumbwe,North-Western Province,-11.5167,24.5333,,,,,,,,,,,,,,,,,,,,,,,,,
80,Mushindamo,North-Western Province,-11.8333,25.1667,,,,,,,,,,,,,,,,,,,,,,,,,
81,Solwezi,North-Western Province,-12.4833,26.3833,,,,,,,,,,,,,,,,,,,,,,,,,1
82,Zambezi,North-Western Province,-12.8167,24.3167,,,,,,,,,,,,,,,,,,,,,,,,,
83,Choma,Southern Province,-16.8167,26.0167,,,,,,,,,,,,,,,,,,,,,,,,,1
84,Gwembe,Southern Province,-16.8333,28.4167,,,,,,,,,,,,,,,,,,,,,,,,,
85,Kalomo,Southern Province,-17,26.2833,,,,,,,,,,,,,,,,,,,,,,,,,
86,Kazungula,Southern Province,-17.8083,25.8667,,,,,,,,,,,,,,,,,,,,,,,,,1
87,Livingstone,Southern Province,-17.8419,25.8544,,,,,,,,,,,,,,,,,,,,,,,,,1
88,Maamba,Southern Province,-17.5667,26.4,,,,,,,,,,,,,,,,,,,,,,,,,
89,Monze,Southern Province,-17.2667,25.9333,,,,,,,,,,,,,,,,,,,,,,,,,
90,Namwala,Southern Province,-15.8333,27.3333,,,,,,,,,,,,,,,,,,,,,,,,,
91,Pemba,Southern Province,-16.3833,28.3333,,,,,,,,,,,,,,,,,,,,,,,,,
92,Sinazongwe,Southern Province,-17.1667,27.75,,,,,,,,,,,,,,,,,,,,,,,,,
93,Kaoma,Western Province,-12.5,25.8333,,,,,,,,,,,,,,,,,,,,,,,,,1
94,Lukulu,Western Province,-11.8833,22.3667,,,,,,,,,,,,,,,,,,,,,,,,,
95,Mongu,Western Province,-12.6667,25.3333,,,,,,,,,,,,,,,,,,,,,,,,,1
96,Nalolo,Western Province,-12.9667,25.5,,,,,,,,,,,,,,,,,,,,,,,,,
97,Nkeyema,Western Province,-13.2667,25.6667,,,,,,,,,,,,,,,,,,,,,,,,,
98,Sesheke,Western Province,-13.5333,25.5333,,,,,,,,,,,,,,,,,,,,,,,,,
99,Sikongo,Western Province,-13.6667,25.3333,,,,,,,,,,,,,,,,,,,,,,,,,
100,Sinjembela,Western Province,-13.0333,24.9333,,,,,,,,,,,,,,,,,,,,,,,,,
101,Shang'ombo,Western Province,-13.3333,24.5667,,,,,,,,,,,,,,,,,,,,,,,,,
102,Sioma,Western Province,-12.8333,25,,,,,,,,,,,,,,,,,,,,,,,,,
103,Luampa,Western Province,-14.1167,25.8167,,,,,,,,,,,,,,,,,,,,,,,,,
104,Limulunga,Western Province,-12.8333,25,,,,,,,,,,,,,,,,,,,,,,,,,
105,Shiwang'andu,Northern Province,-9.7333,31.8667,,,,,,,,,,,,,,,,,,,,,,,,,
106,Manyinga,Southern Province,-17,27.25,,,,,,,,,,,,,,,,,,,,,,,,,
107,Kasempa,North-Western Province,-12.4167,25.8833,,,,,,,,,,,,,,,,,,,,,,,,,
108,Chikankata,Lusaka Province,-16.5333,26.3333,,,,,,,,,,,,,,,,,,,,,,,,,
109,Itezhi-Tezhi,Southern Province,-16.8833,27.2833,,,,,,,,,,,,,,,,,,,,,,,,,
110,Mwinilunga,North-Western Province,-11.6667,24.4333,,,,,,,,,,,,,,,,,,,,,,,,,
111,Chirundu,Lusaka Province,-16.0333,28.8333,,,,,,,,,,,,,,,,,,,,,,,,,1
112,Mazabuka,Southern Province,-16.8333,27.75,,,,,,,,,,,,,,,,,,,,,,,,,
113,Siavonga,Southern Province,-17.3833,28.8167,,,,,,,,,,,,,,,,,,,,,,,,,
114,Zimba,Southern Province,-17.3333,27.3333,,,,,,,,,,,,,,,,,,,,,,,,,
115,Kalabo,Western Province,-16.9667,23.6667,,,,,,,,,,,,,,,,,,,,,,,,,
116,Mitete,Western Province,-14.6667,25.1667,,,,,,,,,,,,,,,,,,,,,,,,,
117,Mulobezi,Western Province,-13.0833,24.5,,,,,,,,,,,,,,,,,,,,,,,,,
118,Mwandi,Western Province,-17.3667,25.2,,,,,,,,,,,,,,,,,,,,,,,,,
119,Senanga,Western Province,-16.1667,24.0833,,,,,,,,,,,,,,,,,,,,,,,,,
120,Sioma,Western Province,-17.1667,24.25,,,,,,,,,,,,,,,,,,,,,,,,,
